"DSC_CTY"|"COD_DAY"|"SHT_COD_MNT"|"DSC_ENG_GRP_RNV"|"DSC_OPR_REG"|QTY_LIC_DAY
"BRAZIL"|"2023-10-31"|"10"|"BUS"|"Interior paulista b"|9
"BRAZIL"|"2023-12-14"|"12"|"BUS"|"Interior paulista b"|1
"BRAZIL"|"2023-12-13"|"12"|"BUS"|"Interior paulista a"|1
"BRAZIL"|"2023-12-11"|"12"|"PASSENGER"|"Rio de janeiro"|358
"BRAZIL"|"2023-12-11"|"12"|"LIGHT COMMERCIAL"|"Recife"|215
"BRAZIL"|"2023-12-11"|"12"|"PASSENGER"|"Porto alegre"|354
"BRAZIL"|"2023-12-01"|"12"|"LIGHT COMMERCIAL"|"Fortaleza"|60
"BRAZIL"|"2023-12-01"|"12"|"PASSENGER"|"Belo horizonte"|963
"BRAZIL"|"2023-12-01"|"12"|"PASSENGER"|"Interior mg"|172
"BRAZIL"|"2023-12-01"|"12"|"LIGHT COMMERCIAL"|"Rio de janeiro"|96
"BRAZIL"|"2023-12-01"|"12"|"LIGHT COMMERCIAL"|"Porto alegre"|120
"BRAZIL"|"2023-12-01"|"12"|"TRUCKS"|"Porto alegre"|43
"BRAZIL"|"2023-12-01"|"12"|"TRUCKS"|"Fortaleza"|21
"BRAZIL"|"2023-12-04"|"12"|"PASSENGER"|"Recife"|600
"BRAZIL"|"2023-12-04"|"12"|"PASSENGER"|"Centro oeste"|486
"BRAZIL"|"2023-12-04"|"12"|"LIGHT COMMERCIAL"|"Interior mg"|98
"BRAZIL"|"2023-12-04"|"12"|"TRUCKS"|"Centro oeste"|34
"BRAZIL"|"2023-12-11"|"12"|"LIGHT COMMERCIAL"|"Brasilia"|35
"BRAZIL"|"2023-12-11"|"12"|"LIGHT COMMERCIAL"|"Interior paulista b"|123
"BRAZIL"|"2023-12-03"|"12"|"PASSENGER"|"Belem"|1
"BRAZIL"|"2023-12-01"|"12"|"BUS"|"Santa catarina"|2
"BRAZIL"|"2023-12-04"|"12"|"BUS"|"Belem"|6
"BRAZIL"|"2023-12-04"|"12"|"BUS"|"Interior paulista b"|7
"BRAZIL"|"2023-12-04"|"12"|"BUS"|"Espirito santo"|3
"BRAZIL"|"2023-12-01"|"12"|"TRUCKS"|"Brasilia"|1
"BRAZIL"|"2023-12-01"|"12"|"BUS"|"Belo horizonte"|7
"BRAZIL"|"2023-12-02"|"12"|"PASSENGER"|"Santa catarina"|21
"BRAZIL"|"2023-12-02"|"12"|"PASSENGER"|"Interior paulista a"|137
"BRAZIL"|"2023-12-02"|"12"|"PASSENGER"|"Porto alegre"|1
"BRAZIL"|"2023-12-02"|"12"|"LIGHT COMMERCIAL"|"Santa catarina"|2
"BRAZIL"|"2023-12-02"|"12"|"LIGHT COMMERCIAL"|"Brasilia"|2
"BRAZIL"|"2023-11-21"|"11"|"BUS"|"Santa catarina"|5
"BRAZIL"|"2023-11-03"|"11"|"BUS"|"Espirito santo"|1
"BRAZIL"|"2023-11-08"|"11"|"BUS"|"Espirito santo"|1
"BRAZIL"|"2023-11-14"|"11"|"BUS"|"Sao paulo"|16
"BRAZIL"|"2023-11-17"|"11"|"BUS"|"Parana"|1
"BRAZIL"|"2023-12-07"|"12"|"LIGHT COMMERCIAL"|"Recife"|247
"BRAZIL"|"2023-12-06"|"12"|"PASSENGER"|"Sao paulo"|2988
"BRAZIL"|"2023-12-06"|"12"|"PASSENGER"|"Belem"|409
"BRAZIL"|"2023-12-06"|"12"|"LIGHT COMMERCIAL"|"Porto alegre"|115
"BRAZIL"|"2023-12-06"|"12"|"LIGHT COMMERCIAL"|"Brasilia"|64
"BRAZIL"|"2023-12-06"|"12"|"BUS"|"Porto alegre"|5
